Assembly	Best match locus	Best match type	Match confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details	Extra genes, details
62KP-HG	KL21	K21	Typeable	?9	99.63%	104.03%	n/a	19 / 19 (100.00%)	KL21_01_galF,100.00%,100.00%;KL21_02_cpsACP,99.52%,100.00%;KL21_03_wzi,99.37%,100.00%;KL21_04_wza,100.00%,100.00%;KL21_05_wzb,100.00%,100.00%;KL21_06_wzc,99.72%,100.00%;KL21_07_wcuD,100.00%,100.00%;KL21_08_wzy,99.51%,100.00%;KL21_09_wcuE,99.40%,100.00%;KL21_10_wcuC,100.00%,100.00%;KL21_11_wbaZ,99.74%,100.00%;KL21_12_wbaP,99.16%,100.00%;KL21_13_wcuA,99.52%,100.00%;KL21_14_wcaL,99.51%,100.00%;KL21_15_wzx,99.77%,100.00%;KL21_16_gnd,100.00%,100.00%;KL21_17_manC,99.64%,58.60%,partial;KL21_17_manC,100.00%,25.27%,partial;KL21_17_manC,98.31%,25.05%,partial;KL21_17_manC,100.00%,14.01%,partial;KL21_18_manB,100.00%,43.64%,partial;KL21_18_manB,98.99%,43.42%,partial;KL21_18_manB,100.00%,28.73%,partial;KL21_18_manB,98.59%,15.57%,partial;KL21_18_manB,100.00%,11.62%,partial;KL21_19_ugd,99.74%,100.00%		0		0 / 19 (0.00%)		3	KL50_10,99.43%,100.00%;KL150_19_gmd,99.10%,100.00%;KL113_19_manB,98.41%,13.82%,partial		
779	KL102	unknown (KL102)	Typeable		99.67%	100.00%	-54 bp	12 / 17 (70.59%)	KL102_01_galF,99.66%,100.00%;KL102_02_cpsACP,99.52%,100.00%;KL102_03_wzi,100.00%,100.00%;KL102_04_wza,100.00%,100.00%;KL102_05_wzb,100.00%,100.00%;KL102_06_wzc,99.72%,100.00%;KL102_07_wbaP,99.15%,100.00%;KL102_08_wzy,99.77%,100.00%;KL102_09,99.31%,100.00%;KL102_10,99.64%,100.00%;KL102_11,99.43%,100.00%;KL102_12,99.72%,100.00%;KL102_13,100.00%,100.00%;KL102_14,99.64%,100.00%;KL102_15_wzx,100.00%,100.00%;KL102_16_gnd,99.57%,100.00%;KL102_17_ugd,99.23%,100.00%		0		0 / 17 (0.00%)		4	KL40_03_wcpO,99.59%,100.00%;KL40_04,99.50%,100.00%;KL40_05_rfaG,100.00%,100.00%;KL150_19_gmd,98.80%,100.00%		
806	KL103	unknown (KL103)	Untypeable	-!	78.76%	6.44%	-23941 bp	2 / 21 (9.52%)	KL103_17_rmlB,80.83%,67.80%,truncated,below_id_threshold;KL103_18_rmlA,76.68%,87.54%,truncated,below_id_threshold	KL103_19_rmlD;KL103_08_wcaA;KL103_07_wbaP;KL103_11_wcaN;KL103_15_wzx;KL103_01_galF;KL103_16_gnd;KL103_03_wzi;KL103_21_ugd;KL103_04_wza;KL103_13_wcpL;KL103_14_wcuT;KL103_10;KL103_20_rmlC;KL103_06_wzc;KL103_02_cpsACP;KL103_12_wzy;KL103_09;KL103_05_wzb	0		0 / 21 (0.00%)		0		KL103_17_rmlB,80.83%,67.80%,truncated,below_id_threshold;KL103_18_rmlA,76.68%,87.54%,truncated,below_id_threshold	
CU276	KL39	K39	Typeable	?2	99.28%	99.93%	n/a	18 / 20 (90.00%)	KL39_01_galF,100.00%,100.00%;KL39_02_cpsACP,91.39%,100.00%;KL39_03_wzi,97.69%,100.00%;KL39_04_wza,100.00%,100.00%;KL39_05_wzb,100.00%,100.00%;KL39_06_wzc,99.86%,100.00%;KL39_07,99.73%,100.00%;KL39_08_wzy,100.00%,100.00%;KL39_09_mshA,99.10%,100.00%;KL39_10_epsH,100.00%,100.00%;KL39_11_epsJ,99.70%,98.50%,partial;KL39_12_wzx,99.79%,100.00%;KL39_13,100.00%,100.00%;KL39_14,99.69%,100.00%;KL39_15_wbaZ,100.00%,100.00%;KL39_16_wcaJ,100.00%,100.00%;KL39_17_gnd,99.57%,100.00%;KL39_18_manC,99.79%,100.00%;KL39_19_manB,99.78%,100.00%;KL39_20_ugd,99.48%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,99.70%,100.00%		
CU293	KL39	K39	Typeable	?2	99.28%	99.94%	n/a	18 / 20 (90.00%)	KL39_01_galF,100.00%,100.00%;KL39_02_cpsACP,91.39%,100.00%;KL39_03_wzi,97.69%,100.00%;KL39_04_wza,100.00%,100.00%;KL39_05_wzb,100.00%,100.00%;KL39_06_wzc,99.86%,100.00%;KL39_07,99.73%,100.00%;KL39_08_wzy,100.00%,100.00%;KL39_09_mshA,99.10%,100.00%;KL39_10_epsH,100.00%,100.00%;KL39_11_epsJ,99.70%,98.80%;KL39_12_wzx,99.79%,100.00%;KL39_13,100.00%,100.00%;KL39_14,99.69%,100.00%;KL39_15_wbaZ,100.00%,100.00%;KL39_16_wcaJ,100.00%,100.00%;KL39_17_gnd,99.57%,100.00%;KL39_18_manC,99.79%,100.00%;KL39_19_manB,99.78%,100.00%;KL39_20_ugd,99.48%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,99.70%,100.00%		
CU371	KL158	unknown (KL158)	Typeable		94.60%	99.86%	0 bp	18 / 22 (81.82%)	KL158_01_galF,99.66%,100.00%;KL158_02_cpsACP,92.82%,100.00%;KL158_03_wzi,97.69%,100.00%;KL158_04_wza,98.68%,100.00%;KL158_05_wzb,95.86%,100.00%;KL158_06_wzc,96.51%,99.86%;KL158_07_wcaA,91.06%,100.00%;KL158_08_wcaJ,96.35%,100.00%;KL158_09,95.30%,100.00%;KL158_10,85.44%,100.00%;KL158_11_wfgD,92.47%,99.29%;KL158_12,88.89%,100.00%;KL158_13_cysE,93.50%,100.00%;KL158_14,84.13%,99.76%;KL158_15,86.80%,99.57%;KL158_16_wzx,94.62%,100.00%;KL158_17_gnd,99.57%,100.00%;KL158_18_rmlB,98.02%,100.00%;KL158_19_rmlA,97.89%,98.62%;KL158_20_rmlD,98.99%,100.00%;KL158_21_rmlC,97.28%,100.00%;KL158_22_ugd,99.74%,100.00%		0		0 / 22 (0.00%)		3	KL146_18_manC,99.79%,100.00%;KL49_18_manB,99.56%,98.29%;KL150_19_gmd,97.90%,100.00%		
CU402	KL36	K36	Typeable		99.86%	100.00%	0 bp	21 / 21 (100.00%)	KL36_01_galF,100.00%,100.00%;KL36_02_cpsACP,97.61%,100.00%;KL36_03_wzi,100.00%,100.00%;KL36_04_wza,100.00%,100.00%;KL36_05_wzb,100.00%,100.00%;KL36_06_wzc,100.00%,100.00%;KL36_07_wcaJ,100.00%,100.00%;KL36_08_wcaA,100.00%,100.00%;KL36_09_rmlB,100.00%,100.00%;KL36_10_rmlA,100.00%,100.00%;KL36_11_rmlC,100.00%,100.00%;KL36_12_wzy,99.70%,100.00%;KL36_13_wckE,100.00%,100.00%;KL36_14_wcuM,100.00%,100.00%;KL36_15,100.00%,100.00%;KL36_16_wckT,100.00%,100.00%;KL36_17_wzx,100.00%,100.00%;KL36_18_wcuJ,99.71%,100.00%;KL36_19_rmlD,100.00%,100.00%;KL36_20_gnd,100.00%,100.00%;KL36_21_ugd,100.00%,100.00%		0		0 / 21 (0.00%)		1	KL150_19_gmd,88.62%,100.00%		
CU406	KL36	K36	Typeable		99.86%	100.00%	0 bp	21 / 21 (100.00%)	KL36_01_galF,100.00%,100.00%;KL36_02_cpsACP,97.61%,100.00%;KL36_03_wzi,100.00%,100.00%;KL36_04_wza,100.00%,100.00%;KL36_05_wzb,100.00%,100.00%;KL36_06_wzc,100.00%,100.00%;KL36_07_wcaJ,100.00%,100.00%;KL36_08_wcaA,100.00%,100.00%;KL36_09_rmlB,100.00%,100.00%;KL36_10_rmlA,100.00%,100.00%;KL36_11_rmlC,100.00%,100.00%;KL36_12_wzy,99.70%,100.00%;KL36_13_wckE,100.00%,100.00%;KL36_14_wcuM,100.00%,100.00%;KL36_15,100.00%,100.00%;KL36_16_wckT,100.00%,100.00%;KL36_17_wzx,100.00%,100.00%;KL36_18_wcuJ,99.71%,100.00%;KL36_19_rmlD,100.00%,100.00%;KL36_20_gnd,100.00%,100.00%;KL36_21_ugd,100.00%,100.00%		0		0 / 21 (0.00%)		1	KL150_19_gmd,88.62%,100.00%		
CU443	KL102	unknown (KL102)	Typeable		99.66%	100.00%	-1 bp	12 / 17 (70.59%)	KL102_01_galF,98.99%,100.00%;KL102_02_cpsACP,99.04%,100.00%;KL102_03_wzi,100.00%,100.00%;KL102_04_wza,100.00%,100.00%;KL102_05_wzb,100.00%,100.00%;KL102_06_wzc,99.72%,100.00%;KL102_07_wbaP,99.36%,100.00%;KL102_08_wzy,99.54%,100.00%;KL102_09,99.31%,100.00%;KL102_10,99.64%,100.00%;KL102_11,99.43%,100.00%;KL102_12,99.72%,100.00%;KL102_13,100.00%,100.00%;KL102_14,100.00%,100.00%;KL102_15_wzx,100.00%,100.00%;KL102_16_gnd,100.00%,100.00%;KL102_17_ugd,99.48%,100.00%		0		0 / 17 (0.00%)		4	KL40_03_wcpO,99.19%,100.00%;KL40_04,99.25%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,98.50%,100.00%		
CU448	KL102	unknown (KL102)	Typeable		99.66%	100.00%	-1 bp	12 / 17 (70.59%)	KL102_01_galF,98.99%,100.00%;KL102_02_cpsACP,99.04%,100.00%;KL102_03_wzi,100.00%,100.00%;KL102_04_wza,100.00%,100.00%;KL102_05_wzb,100.00%,100.00%;KL102_06_wzc,99.72%,100.00%;KL102_07_wbaP,99.36%,100.00%;KL102_08_wzy,99.54%,100.00%;KL102_09,99.31%,100.00%;KL102_10,99.64%,100.00%;KL102_11,99.43%,100.00%;KL102_12,99.72%,100.00%;KL102_13,100.00%,100.00%;KL102_14,100.00%,100.00%;KL102_15_wzx,100.00%,100.00%;KL102_16_gnd,100.00%,100.00%;KL102_17_ugd,99.48%,100.00%		0		0 / 17 (0.00%)		4	KL40_03_wcpO,99.19%,100.00%;KL40_04,99.25%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,98.50%,100.00%		
CU451	KL102	unknown (KL102)	Typeable		99.66%	100.00%	-1 bp	12 / 17 (70.59%)	KL102_01_galF,98.99%,100.00%;KL102_02_cpsACP,99.04%,100.00%;KL102_03_wzi,100.00%,100.00%;KL102_04_wza,100.00%,100.00%;KL102_05_wzb,100.00%,100.00%;KL102_06_wzc,99.72%,100.00%;KL102_07_wbaP,99.36%,100.00%;KL102_08_wzy,99.54%,100.00%;KL102_09,99.31%,100.00%;KL102_10,99.64%,100.00%;KL102_11,99.43%,100.00%;KL102_12,99.72%,100.00%;KL102_13,100.00%,100.00%;KL102_14,100.00%,100.00%;KL102_15_wzx,100.00%,100.00%;KL102_16_gnd,100.00%,100.00%;KL102_17_ugd,99.48%,100.00%		0		0 / 17 (0.00%)		4	KL40_03_wcpO,99.19%,100.00%;KL40_04,99.25%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,98.50%,100.00%		
CU494	KL36	K36	Typeable		99.86%	100.00%	0 bp	21 / 21 (100.00%)	KL36_01_galF,100.00%,100.00%;KL36_02_cpsACP,97.61%,100.00%;KL36_03_wzi,100.00%,100.00%;KL36_04_wza,100.00%,100.00%;KL36_05_wzb,100.00%,100.00%;KL36_06_wzc,100.00%,100.00%;KL36_07_wcaJ,100.00%,100.00%;KL36_08_wcaA,100.00%,100.00%;KL36_09_rmlB,100.00%,100.00%;KL36_10_rmlA,100.00%,100.00%;KL36_11_rmlC,100.00%,100.00%;KL36_12_wzy,99.70%,100.00%;KL36_13_wckE,100.00%,100.00%;KL36_14_wcuM,100.00%,100.00%;KL36_15,100.00%,100.00%;KL36_16_wckT,100.00%,100.00%;KL36_17_wzx,100.00%,100.00%;KL36_18_wcuJ,99.71%,100.00%;KL36_19_rmlD,100.00%,100.00%;KL36_20_gnd,100.00%,100.00%;KL36_21_ugd,100.00%,100.00%		0		0 / 21 (0.00%)		1	KL150_19_gmd,88.62%,100.00%		
CU503	KL36	K36	Typeable		99.86%	100.00%	0 bp	21 / 21 (100.00%)	KL36_01_galF,100.00%,100.00%;KL36_02_cpsACP,97.61%,100.00%;KL36_03_wzi,100.00%,100.00%;KL36_04_wza,100.00%,100.00%;KL36_05_wzb,100.00%,100.00%;KL36_06_wzc,100.00%,100.00%;KL36_07_wcaJ,100.00%,100.00%;KL36_08_wcaA,100.00%,100.00%;KL36_09_rmlB,100.00%,100.00%;KL36_10_rmlA,100.00%,100.00%;KL36_11_rmlC,100.00%,100.00%;KL36_12_wzy,99.70%,100.00%;KL36_13_wckE,100.00%,100.00%;KL36_14_wcuM,100.00%,100.00%;KL36_15,100.00%,100.00%;KL36_16_wckT,100.00%,100.00%;KL36_17_wzx,100.00%,100.00%;KL36_18_wcuJ,99.71%,100.00%;KL36_19_rmlD,100.00%,100.00%;KL36_20_gnd,100.00%,100.00%;KL36_21_ugd,100.00%,100.00%		0		0 / 21 (0.00%)		1	KL150_19_gmd,88.62%,100.00%		
ERS523587	KL2	K2	Typeable	?2	99.82%	99.90%	n/a	13 / 18 (72.22%)	KL2_01_galF,100.00%,100.00%;KL2_02_cpsACP,100.00%,100.00%;KL2_03_wzi,100.00%,100.00%;KL2_04_wza,100.00%,100.00%;KL2_05_wzb,100.00%,100.00%;KL2_06_wzc,99.86%,100.00%;KL2_07,100.00%,100.00%;KL2_08,100.00%,100.00%;KL2_09,100.00%,100.00%;KL2_10,100.00%,61.54%,partial;KL2_10,97.96%,11.42%,partial;KL2_11_wzx,100.00%,100.00%;KL2_12,99.48%,100.00%;KL2_13,100.00%,100.00%;KL2_14_wcaJ,99.78%,100.00%;KL2_15_gnd,99.57%,100.00%;KL2_16_manC,100.00%,100.00%;KL2_17_manB,100.00%,100.00%;KL2_18_ugd,100.00%,100.00%		0		0 / 18 (0.00%)		2	KL40_05_rfaG,98.41%,99.21%;KL150_19_gmd,99.70%,100.00%		
ERS523588	KL20	K20	Typeable	-	99.96%	81.69%	-3810 bp	13 / 18 (72.22%)	KL20_01_galF,100.00%,100.00%;KL20_06_wzc,99.71%,95.71%;KL20_07_wbaP,100.00%,100.00%;KL20_08_wzy,99.76%,100.00%;KL20_09,100.00%,100.00%;KL20_10_wcaN,100.00%,100.00%;KL20_11_wcaO,100.00%,100.00%;KL20_12,100.00%,100.00%;KL20_13_wbaZ,100.00%,100.00%;KL20_14_wzx,100.00%,100.00%;KL20_15_gnd,100.00%,100.00%;KL20_16_manC,100.00%,100.00%;KL20_17_manB,100.00%,100.00%;KL20_18_ugd,100.00%,100.00%	KL20_05_wzb;KL20_03_wzi;KL20_02_cpsACP;KL20_04_wza	0		0 / 18 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,98.50%,100.00%		
ERS523589	KL57	K57	Typeable		99.01%	100.00%	2 bp	18 / 18 (100.00%)	KL57_01_galF,98.66%,100.00%;KL57_02_cpsACP,94.74%,100.00%;KL57_03_wzi,98.33%,100.00%;KL57_04_wza,99.47%,100.00%;KL57_05_wzb,100.00%,100.00%;KL57_06_wzc,99.58%,100.00%;KL57_07_wcaJ,99.37%,100.00%;KL57_08_wzx,99.59%,100.00%;KL57_09_wckX,99.20%,100.00%;KL57_10_wckW,99.18%,100.00%;KL57_11_wzy,98.72%,100.00%;KL57_12,99.53%,100.00%;KL57_13_vanT,97.85%,100.00%;KL57_14_wbaZ,99.74%,100.00%;KL57_15_gnd,99.36%,100.00%;KL57_16_manC,99.58%,100.00%;KL57_17_manB,99.78%,100.00%;KL57_18_ugd,99.48%,100.00%		0		2 / 18 (11.11%)	KL57_16_manC,99.79%,100.00%;KL57_17_manB,99.55%,98.03%	0			
ERS659571	KL11	K11	Typeable		96.15%	99.91%	17 bp	16 / 16 (100.00%)	KL11_01_galF,99.33%,100.00%;KL11_02_cpsACP,91.39%,100.00%;KL11_03_wzi,98.32%,100.00%;KL11_04_wza,99.21%,100.00%;KL11_05_wzb,98.61%,100.00%;KL11_06_wzc,97.50%,100.00%;KL11_07_wcaJ,97.85%,100.00%;KL11_08_wzy,97.42%,100.00%;KL11_09_wcuP,91.48%,99.45%;KL11_10_wclO,97.27%,100.00%;KL11_11_wcuC,92.90%,99.69%;KL11_12_gnd,99.15%,100.00%;KL11_13,90.95%,100.00%;KL11_14_wbaZ,93.12%,100.00%;KL11_15_wzx,95.24%,100.00%;KL11_16_ugd,98.71%,100.00%		0		0 / 16 (0.00%)		3	KL43_17_manC,100.00%,100.00%;KL13_18_manB,99.57%,98.29%;KL150_19_gmd,99.40%,100.00%		
ERS659577	KL74	K74	Typeable		100.00%	100.00%	0 bp	19 / 19 (100.00%)	KL74_01_galF,100.00%,100.00%;KL74_02_cpsACP,100.00%,100.00%;KL74_03_wzi,100.00%,100.00%;KL74_04_wza,100.00%,100.00%;KL74_05_wzb,100.00%,100.00%;KL74_06_wzc,100.00%,100.00%;KL74_07_wbaP,100.00%,100.00%;KL74_08_wcuD,100.00%,100.00%;KL74_09_wcuE,100.00%,100.00%;KL74_10_wbaZ,100.00%,100.00%;KL74_11_wzy,100.00%,100.00%;KL74_12,100.00%,100.00%;KL74_13_wzx,100.00%,100.00%;KL74_14_wcuL,100.00%,100.00%;KL74_15_wcoW,100.00%,100.00%;KL74_16_gnd,100.00%,100.00%;KL74_17_manC,100.00%,100.00%;KL74_18_manB,100.00%,100.00%;KL74_19_ugd,100.00%,100.00%		0		2 / 19 (10.53%)	KL74_17_manC,100.00%,100.00%;KL74_18_manB,99.77%,95.61%	2	KL50_10,89.79%,100.00%;KL150_19_gmd,85.93%,97.90%		
ERS659578	KL74	K74	Typeable		100.00%	100.00%	0 bp	19 / 19 (100.00%)	KL74_01_galF,100.00%,100.00%;KL74_02_cpsACP,100.00%,100.00%;KL74_03_wzi,100.00%,100.00%;KL74_04_wza,100.00%,100.00%;KL74_05_wzb,100.00%,100.00%;KL74_06_wzc,100.00%,100.00%;KL74_07_wbaP,100.00%,100.00%;KL74_08_wcuD,100.00%,100.00%;KL74_09_wcuE,100.00%,100.00%;KL74_10_wbaZ,100.00%,100.00%;KL74_11_wzy,100.00%,100.00%;KL74_12,100.00%,100.00%;KL74_13_wzx,100.00%,100.00%;KL74_14_wcuL,100.00%,100.00%;KL74_15_wcoW,100.00%,100.00%;KL74_16_gnd,100.00%,100.00%;KL74_17_manC,100.00%,100.00%;KL74_18_manB,100.00%,100.00%;KL74_19_ugd,100.00%,100.00%		0		2 / 19 (10.53%)	KL74_17_manC,100.00%,100.00%;KL74_18_manB,99.77%,95.61%	2	KL50_10,89.79%,100.00%;KL150_19_gmd,85.93%,97.90%		
ERS659579	KL80	K80	Typeable		100.00%	100.00%	0 bp	23 / 23 (100.00%)	KL80_01_galF,100.00%,100.00%;KL80_02_cpsACP,100.00%,100.00%;KL80_03_wzi,100.00%,100.00%;KL80_04_wza,100.00%,100.00%;KL80_05_wzb,100.00%,100.00%;KL80_06_wzc,100.00%,100.00%;KL80_07_wcaJ,100.00%,100.00%;KL80_08_wcuD,100.00%,100.00%;KL80_09_wcuE,100.00%,100.00%;KL80_10_wbaZ,100.00%,100.00%;KL80_11_wzy,100.00%,100.00%;KL80_12,100.00%,100.00%;KL80_13_wzx,100.00%,100.00%;KL80_14_wcuN,100.00%,100.00%;KL80_15_wcuS,100.00%,100.00%;KL80_16_gnd,100.00%,100.00%;KL80_17_manC,100.00%,100.00%;KL80_18_manB,100.00%,100.00%;KL80_19_rmlB,100.00%,100.00%;KL80_20_rmlA,100.00%,100.00%;KL80_21_rmlD,100.00%,100.00%;KL80_22_rmlC,100.00%,100.00%;KL80_23_ugd,100.00%,100.00%		0		2 / 23 (8.70%)	KL80_21_rmlD,99.32%,100.00%;KL80_22_rmlC,99.45%,98.37%	3	KL12_19_rmlB,98.02%,100.00%;KL150_19_gmd,98.20%,100.00%;KL144_22_rmlA,98.27%,100.00%		
ERS659580	KL35	K35	Typeable		100.00%	100.00%	0 bp	20 / 20 (100.00%)	KL35_01_galF,100.00%,100.00%;KL35_02_cpsACP,100.00%,100.00%;KL35_03_wzi,100.00%,100.00%;KL35_04_wza,100.00%,100.00%;KL35_05_wzb,100.00%,100.00%;KL35_06_wzc,100.00%,100.00%;KL35_07_wzy,100.00%,100.00%;KL35_08_wcuC,100.00%,100.00%;KL35_09_wckM,100.00%,100.00%;KL35_10_wckL,100.00%,100.00%;KL35_11_wcuQ,100.00%,100.00%;KL35_12_wzx,100.00%,100.00%;KL35_13_wckK,100.00%,100.00%;KL35_14_wbaZ,100.00%,100.00%;KL35_15_wcaJ,100.00%,100.00%;KL35_16_wclK,100.00%,100.00%;KL35_17_gnd,100.00%,100.00%;KL35_18_manC,100.00%,100.00%;KL35_19_manB,100.00%,100.00%;KL35_20_ugd,100.00%,100.00%		0		2 / 20 (10.00%)	KL35_18_manC,99.79%,100.00%;KL35_19_manB,99.55%,98.03%	1	KL150_19_gmd,99.40%,100.00%		
ERS659581	KL82	K82	Typeable	+	100.00%	100.00%	0 bp	17 / 17 (100.00%)	KL82_01_galF,100.00%,100.00%;KL82_02_cpsACP,100.00%,100.00%;KL82_03_wzi,100.00%,100.00%;KL82_04_wza,100.00%,100.00%;KL82_05_wzb,100.00%,100.00%;KL82_06_wzc,100.00%,100.00%;KL82_07_wcaJ,100.00%,100.00%;KL82_08_wckY,100.00%,100.00%;KL82_09_wzy,100.00%,100.00%;KL82_10_wckV,100.00%,100.00%;KL82_11_wcqN,100.00%,100.00%;KL82_12_wcuF,100.00%,100.00%;KL82_13,100.00%,100.00%;KL82_14_wzx,100.00%,100.00%;KL82_15_wcqO,100.00%,100.00%;KL82_16_gnd,100.00%,100.00%;KL82_17_ugd,100.00%,100.00%		1	KL172_03,85.71%,97.22%	0 / 17 (0.00%)		5	KL138_20_rmlB,94.07%,100.00%;KL184_20_rmlD,93.24%,100.00%;KL32_17_rmlA,95.09%,98.62%;KL68_18,86.38%,90.39%;KL79_20_rmlC,92.90%,99.46%		
ERS685293	KL25	K25	Typeable	!	99.98%	100.01%	2 bp	14 / 14 (100.00%)	KL25_01_galF,100.00%,100.00%;KL25_02_cpsACP,100.00%,100.00%;KL25_03_wzi,99.79%,100.00%;KL25_04_wza,100.00%,100.00%;KL25_05_wzb,100.00%,100.00%;KL25_06_wzc,99.86%,100.00%;KL25_07_wcaJ,100.00%,100.00%;KL25_08_wzy,100.00%,100.00%;KL25_09_wfeD,100.00%,57.09%,truncated;KL25_10,100.00%,100.00%;KL25_11_wcuB,100.00%,100.00%;KL25_12_wzx,100.00%,100.00%;KL25_13_gnd,100.00%,100.00%;KL25_14_ugd,100.00%,100.00%		0		0 / 14 (0.00%)		3	KL14_19_manC,99.79%,100.00%;KL30_19_manB,99.57%,98.29%;KL150_19_gmd,98.80%,100.00%	KL25_09_wfeD,100.00%,57.09%,truncated	
ERS685294	KL42	K42	Typeable		99.98%	100.00%	1 bp	20 / 20 (100.00%)	KL42_01_galF,100.00%,100.00%;KL42_02_cpsACP,100.00%,100.00%;KL42_03_wzi,100.00%,100.00%;KL42_04_wza,100.00%,100.00%;KL42_05_wzb,100.00%,100.00%;KL42_06_wzc,100.00%,100.00%;KL42_07_wcaJ,100.00%,100.00%;KL42_08_wcuO,100.00%,100.00%;KL42_09_wzy,100.00%,100.00%;KL42_10_wcpV,99.63%,100.00%;KL42_11_wcpW,100.00%,100.00%;KL42_12_wcpX,100.00%,100.00%;KL42_13_manC1,100.00%,100.00%;KL42_14_algC,100.00%,100.00%;KL42_15_wckG,100.00%,100.00%;KL42_16_wckH,100.00%,100.00%;KL42_17_wzx,100.00%,100.00%;KL42_18_glf,100.00%,100.00%;KL42_19_gnd,100.00%,100.00%;KL42_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		2	KL150_19_gmd,88.92%,100.00%;KL106_18_ugd,100.00%,7.99%		
ERS685295	KL61	K61	Typeable	?2-	98.33%	65.07%	n/a	13 / 19 (68.42%)	KL61_01_galF,98.99%,100.00%;KL61_02_cpsACP,95.22%,100.00%;KL61_03_wzi,98.74%,100.00%;KL61_04_wza,100.00%,100.00%;KL61_05_wzb,97.93%,100.00%;KL61_06_wzc,90.77%,18.33%,partial;KL61_13_wcuK,100.00%,16.82%,partial;KL61_14_wbaZ,98.43%,99.22%;KL61_15_wcaJ,98.70%,100.00%;KL61_16_gnd,99.79%,100.00%;KL61_17_manC,99.79%,100.00%;KL61_18_manB,100.00%,100.00%;KL61_19_ugd,100.00%,100.00%	KL61_07_wclQ;KL61_08_wcuQ;KL61_12_wcqZ;KL61_11_wzx;KL61_10_wclP;KL61_09_wzy	0		2 / 19 (10.53%)	KL61_17_manC,99.58%,100.00%;KL61_18_manB,99.33%,98.03%	1	KL150_19_gmd,99.70%,100.00%		
ERS686706	KL64	K64	Typeable		99.93%	100.00%	0 bp	24 / 24 (100.00%)	KL64_01_galF,100.00%,100.00%;KL64_02_cpsACP,100.00%,100.00%;KL64_03_wzi,100.00%,100.00%;KL64_04_wza,100.00%,100.00%;KL64_05_wzb,100.00%,100.00%;KL64_06_wzc,100.00%,100.00%;KL64_07_wzx,99.80%,100.00%;KL64_08_wcoV,100.00%,100.00%;KL64_09,100.00%,100.00%;KL64_10_wzy,100.00%,100.00%;KL64_11_wcoU,99.69%,100.00%;KL64_12_wcoT,99.71%,100.00%;KL64_13_wcsF,99.73%,100.00%;KL64_14_wcuK,100.00%,100.00%;KL64_15_wbaZ,99.74%,100.00%;KL64_16_wcaJ,100.00%,100.00%;KL64_17_gnd,100.00%,100.00%;KL64_18_manC,100.00%,100.00%;KL64_19_manB,100.00%,100.00%;KL64_20_rmlB,100.00%,100.00%;KL64_21_rmlA,99.65%,100.00%;KL64_22_rmlD,100.00%,100.00%;KL64_23_rmlC,100.00%,100.00%;KL64_24_ugd,100.00%,100.00%		0		0 / 24 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,98.80%,100.00%		
ERS686707	KL19	K19	Typeable		98.03%	99.94%	11 bp	20 / 20 (100.00%)	KL19_01_galF,98.99%,100.00%;KL19_02_cpsACP,96.17%,100.00%;KL19_03_wzi,97.91%,100.00%;KL19_04_wza,97.88%,100.00%;KL19_05_wzb,100.00%,100.00%;KL19_06_wzc,98.61%,100.00%;KL19_07_wcaJ,98.74%,100.00%;KL19_08_wcuF,94.85%,100.00%;KL19_09_wcmY,96.61%,100.00%;KL19_10_wzx,97.07%,100.00%;KL19_11_wctW,97.16%,100.00%;KL19_12_wctX,99.22%,100.00%;KL19_13_wzy,98.84%,100.00%;KL19_14,94.68%,100.00%;KL19_15_gnd,99.57%,100.00%;KL19_16_rmlB,99.15%,100.00%;KL19_17_rmlA,98.25%,98.62%;KL19_18_rmlD,98.31%,100.00%;KL19_19_rmlC,98.91%,100.00%;KL19_20_ugd,99.74%,100.00%		0		0 / 20 (0.00%)		4	KL40_03_wcpO,97.77%,100.00%;KL40_04,99.50%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,99.10%,100.00%		
